	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
0	1	2008	Bangalore	2008-04-18	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Kolkata Knight Riders	140	0	BB McCullum	M Chinnaswamy Stadium	Asad Rauf	RE Koertzen		1		0.0	0	0.0	0.0
1	2	2008	Chandigarh	2008-04-19	Chennai Super Kings	Kings XI Punjab	Chennai Super Kings	bat	normal	0	Chennai Super Kings	33	0	MEK Hussey	Punjab Cricket Association Stadium, Mohali	MR Benson	SL Shastri		1		0.0	0	0.0	0.0
2	3	2008	Delhi	2008-04-19	Rajasthan Royals	Delhi Daredevils	Rajasthan Royals	bat	normal	0	Delhi Daredevils	0	9	MF Maharoof	Feroz Shah Kotla	Aleem Dar	GA Pratapkumar		0		0.0	0	0.0	0.0
3	4	2008	Mumbai	2008-04-20	Mumbai Indians	Royal Challengers Bangalore	Mumbai Indians	bat	normal	0	Royal Challengers Bangalore	0	5	MV Boucher	Wankhede Stadium	SJ Davis	DJ Harper		0		-1.13866396761	0	0.0	0.0
5	6	2008	Jaipur	2008-04-21	Kings XI Punjab	Rajasthan Royals	Kings XI Punjab	bat	normal	0	Rajasthan Royals	0	6	SR Watson	Sawai Mansingh Stadium	Aleem Dar	RB Tiffin		0	55.665974892	1.41478558174	0	0.0	0.0
7	8	2008	Chennai	2008-04-23	Chennai Super Kings	Mumbai Indians	Mumbai Indians	field	normal	0	Chennai Super Kings	6	0	ML Hayden	MA Chidambaram Stadium, Chepauk	DJ Harper	GA Pratapkumar		1	6.13573446391	-1.59136812012	1	0.0	100.0
9	10	2008	Chandigarh	2008-04-25	Kings XI Punjab	Mumbai Indians	Mumbai Indians	field	normal	0	Kings XI Punjab	66	0	KC Sangakkara	Punjab Cricket Association Stadium, Mohali	Aleem Dar	AM Saheba		1	4.66684430088	-0.601904418887	0	0.0	0.0
10	11	2008	Bangalore	2008-04-26	Royal Challengers Bangalore	Rajasthan Royals	Rajasthan Royals	field	normal	0	Rajasthan Royals	0	7	SR Watson	M Chinnaswamy Stadium	MR Benson	IL Howell		0	25.3887426791	-0.0158426073519	0	0.0	0.0
11	12	2008	Chennai	2008-04-26	Kolkata Knight Riders	Chennai Super Kings	Kolkata Knight Riders	bat	normal	0	Chennai Super Kings	0	9	JDP Oram	MA Chidambaram Stadium, Chepauk	BF Bowden	AV Jayaprakash		0	-28.4386175419	8.23086064263	0	0.0	0.0
13	14	2008	Chandigarh	2008-04-27	Delhi Daredevils	Kings XI Punjab	Delhi Daredevils	bat	normal	0	Kings XI Punjab	0	4	SM Katich	Punjab Cricket Association Stadium, Mohali	RE Koertzen	I Shivram		0	41.2217305047	1.3047197756	0	0.0	66.6666666667
